Month,Business_Line_name,Cost_Center,Cost_Center_Name,Project_Name,Intercompany_Name,FS_Category,Account_Grouping,Account_Name,Analytical_Code_D,Currency,SumOfCurrent Month,SumOfBudget,BudgetVariance,BudgetVariancePercentage,SumOfPrevious Month,VarianceFromPreviousMonth,VarianceFromPreviousMonthPercentage
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 226,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Related parties - ,22111/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 226,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,-182046.6786,-1638420.108,1456373.429,-88.89 %,-2333.931777,-179712.7468,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 226,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,608096.4273,5472867.846,-4864771.419,-88.89 %,506747.0227,101349.4046,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 226,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 226,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,5738.142011,51643.2781,-45905.13609,-88.89 %,6595.56553,-857.423519,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 225,AR Control account & Prepaid (NC) ,Non current assets,AR Control account (NC) - Shareholder Loan - ,11611/0000 - Other,SAR,11227582.32,128551.4542,11099030.87,8633.92 %,12475091.47,-1247509.15,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 225,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,166662.9452,183329.2398,-16666.2946,-9.09 %,185181.0503,-18518.1051,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 225,Investment in subsidiaries,Non current assets,Investment in subsidiaries (net),11501/1001 - Cost of investment,SAR,46678.63555,118643.848,-71965.21245,-60.66 %,598.4440455,46080.1915,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 228,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,96565.46777,96565.46777,0,0.00 %,110994.7905,-14429.32273,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 229,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,28022953.11,252206578,-224183624.9,-88.89 %,359268.6296,27663684.48,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 231,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,1225519.933,1348071.926,-122551.993,-9.09 %,817013.2885,408506.6445,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 223,Accrued expenses and other payables,Current liabilities,Deferred Revenue (C),22261/0000 - Other,SAR,-1474.039497,-1621.443447,147.40395,-9.09 %,-1228.366248,-245.673249,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 223,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,3686777.729,3686777.729,0,0.00 %,2457851.819,1228925.91,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 223,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 223,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 197,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,-1649.4614,-1814.40754,164.94614,-9.09 %,-1099.640934,-549.820466,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 197,AR Control account & Prepaid (NC) ,Non current assets,AR Control account (NC) - Shareholder Loan - ,11611/0000 - Other,SAR,1360692.886,0,1360692.886,,1564014.811,-203321.925,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 197,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,2350642.334,21155781.01,-18805138.68,-88.89 %,1567094.889,783547.445,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 197,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 197,Investment in subsidiaries,Non current assets,Investment in subsidiaries (net),11501/1001 - Cost of investment,SAR,2244.165171,45303.87193,-43059.70676,-95.05 %,1496.110114,748.055057,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 198,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,2819571.636,3101528.8,-281957.164,-9.09 %,2563246.942,256324.694,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 198,Zakat Payable & VAT Output,Current liabilities,VAT OUTPUT,22303/1014 - 15%_VAT_LOCAL_OUTPT,SAR,-72452.94434,-79698.23878,7245.29444,-9.09 %,-928.8839019,-71524.06044,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 120,Accrued expenses and other payables,Current liabilities,Deferred Revenue (C),22261/0000 - Other,SAR,-20197.4623,-20197.4623,0,0.00 %,-22441.62478,2244.16248,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 120,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,7572419.095,7572419.095,0,0.00 %,6310349.246,1262069.849,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 120,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 201,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,-3298.922801,-3298.922801,0,0.00 %,-2199.281867,-1099.640934,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 201,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,531545.9811,4783913.83,-4252367.849,-88.89 %,590606.6457,-59060.6646,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 201,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 196,Accrued expenses and other payables,Current liabilities,Deferred Revenue (C),22261/0000 - Other,SAR,-36607.94434,-329471.4991,292863.5548,-88.89 %,-42078.09695,5470.15261,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 196,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,265911.5457,292502.7003,-26591.1546,-9.09 %,305645.4548,-39733.9091,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 196,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 194,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,-1784.111311,-16057.0018,14272.89049,-88.89 %,-1189.40754,-594.703771,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 194,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,4990944.596,4990944.596,0,0.00 %,63986.46918,4926958.127,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 194,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 193,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,1076430.063,9687870.566,-8611440.503,-88.89 %,717620.0419,358810.0211,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 150,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,1104130.283,1214543.311,-110413.028,-9.09 %,736086.8552,368043.4278,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 150,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 129,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,143225.8483,143225.8483,0,0.00 %,95483.89886,47741.94944,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 129,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 165,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,143073.0371,1287657.334,-1144584.297,-88.89 %,130066.3974,13006.6397,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 165,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 165,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 158,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,413148,454462.8,-41314.8,-9.09 %,344290,68858,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 158,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 195,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Related parties - ,22111/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 195,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,47122.45422,47122.45422,0,0.00 %,52358.28247,-5235.82825,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 195,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 147,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Related parties - ,22111/0000 - Other,SAR,-481350.3097,-4332152.787,3850802.477,-88.89 %,-534833.6774,53483.3677,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 147,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,27756760.07,249810840.6,-222054080.5,-88.89 %,25233418.25,2523341.82,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 147,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 147,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/1001 - ,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 147,End of service benefits,Non current liabilities,End of service benefits,21411/0000 - Other,SAR,-224929.3695,-244302.3783,19373.0088,-7.93 %,-202117.6631,-22811.7064,11.29 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 147,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,-0.021543986,-0.193895871,0.172351885,-88.89 %,-0.017953321,-0.003590665,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 199,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,95375.83124,104913.4144,-9537.58316,-9.09 %,79479.85937,15895.97187,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 199,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 145,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,8090366.626,8090366.626,0,0.00 %,8989296.251,-898929.625,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 145,AR Control account Current,Current assets,Provision for AR / Related parties,12281/0000 - Other,SAR,0.035906643,0.039497307,-0.003590664,-9.09 %,0.029922202,0.005984441,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 200,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,35317.55368,317857.9831,-282540.4294,-88.89 %,40594.88929,-5277.33561,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 200,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 200,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 1,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,1073.608618,1180.969479,-107.360861,-9.09 %,13.76421305,1059.844405,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 27,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 65,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,4995.253142,44957.27828,-39962.02514,-88.89 %,4162.710952,832.54219,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 65,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 37,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Related parties - ,22111/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 37,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,24308025.75,26738828.32,-2430802.57,-9.09 %,27008917.5,-2700891.75,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 37,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 212,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 212,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 246,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,26592720.65,239334485.8,-212741765.2,-88.89 %,340932.316,26251788.33,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 246,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 139,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,39497.44614,43447.19075,-3949.74461,-9.09 %,26331.63076,13165.81538,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 139,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 3,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,2411459.062,2411459.062,0,0.00 %,1607639.375,803819.687,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 203,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,1203514.412,10831629.71,-9628115.298,-88.89 %,802342.9414,401171.4706,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 203,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 82,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 82,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 51,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,415333.5332,415333.5332,0,0.00 %,346111.2777,69222.2555,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 94,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,6059.245961,54533.21364,-48473.96768,-88.89 %,6732.495512,-673.249551,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 94,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 110,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,2256.905476,2482.596023,-225.690547,-9.09 %,2594.144225,-337.238749,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 190,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 190,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 190,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 210,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,1297925.44,11681328.96,-10383403.52,-88.89 %,865283.6266,432641.8134,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 210,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 221,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,118805.0808,130685.5889,-11880.5081,-9.09 %,79203.38719,39601.69361,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 221,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Solar Power 21,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Related parties - ,22111/0000 - Other,SAR,-171543.9856,-171543.9856,0,0.00 %,-2199.281867,-169344.7037,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Solar Power 21,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,-507.8545781,-507.8545781,0,0.00 %,-338.5697187,-169.2848594,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Solar Power 21,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Solar Power 21,Investment in subsidiaries,Non current assets,Investment in subsidiaries (net),11501/1020 - Investment in shares assigned,SAR,897.6660682,39549.44943,-38651.78336,-97.73 %,598.4440455,299.2220227,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 126,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 126,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,158374.9488,1425374.539,-1266999.59,-88.89 %,143977.2262,14397.7226,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 126,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 202,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,911669.5655,1002836.522,-91166.9565,-9.09 %,759724.6379,151944.9276,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 202,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 202,Investment in subsidiaries,Non current assets,Investment in subsidiaries (net),11501/1020 - Investment in shares assigned,SAR,2244.165171,0,2244.165171,,1496.110114,748.055057,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 245,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,143595.2558,143595.2558,0,0.00 %,159550.2843,-15955.0285,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 163,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,691022.9788,6219206.809,-5528183.83,-88.89 %,628202.708,62820.2708,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 163,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 127,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Related parties - ,22111/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 127,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 127,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,466.7863555,513.464991,-46.6786355,-9.09 %,388.9886296,77.7977259,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 127,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 183,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,-203388.1508,-203388.1508,0,0.00 %,-2607.540395,-200780.6104,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 183,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,132679.8743,132679.8743,0,0.00 %,147422.0826,-14742.2083,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 183,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,559.9281867,5039.35368,-4479.425493,-88.89 %,466.6068223,93.3213644,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 171,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,2911458.658,26203127.92,-23291669.26,-88.89 %,3346504.204,-435045.546,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 171,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,1027.235189,1027.235189,0,0.00 %,1180.730102,-153.494913,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 172,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,1187125.224,1305837.747,-118712.523,-9.09 %,15219.55416,1171905.67,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 172,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Solar Power 22,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Solar Power 22,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,-0.00448833,-0.040394973,0.035906643,-88.89 %,-0.00299222,-0.00149611,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 186,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,148653.5009,1337881.508,-1189228.007,-88.89 %,123877.9174,24775.5835,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 166,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,113128.8178,124441.6996,-11312.8818,-9.09 %,125698.6864,-12569.8686,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 166,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 181,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,13498967.85,13498967.85,0,0.00 %,15516055,-2017087.15,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 181,AR Control account Current,Current assets,Intercompany clearing account - Receivables,12292/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 130,AR Control account Current,Current assets,AR Control account (C) - Related parties - ,12211/0000 - Other,SAR,19256342.89,173307086,-154050743.1,-88.89 %,246876.1909,19009466.7,7700.00 %
